Time	Price	Vol(k)	W
19-01-2026 16:38:07	1.8700	0.1	s
19-01-2026 16:36:26	1.8700	0.1	s
19-01-2026 16:35:22	1.8700	1	s
19-01-2026 16:35:22	1.8700	0.1	s
19-01-2026 16:35:20	1.8600	42.1	s
19-01-2026 16:35:20	1.8600	50	s
19-01-2026 16:34:42	1.8500	0.1	b
19-01-2026 16:33:03	1.8500	0.1	b
19-01-2026 16:32:27	1.8500	0.1	b
19-01-2026 16:32:23	1.8500	0.1	b
19-01-2026 16:31:32	1.8500	1	b
19-01-2026 16:31:26	1.8500	0.1	b
19-01-2026 16:28:13	1.8500	0.1	b
19-01-2026 16:27:23	1.8500	0.1	b
19-01-2026 16:26:03	1.8500	0.1	b
19-01-2026 16:23:05	1.8500	0.1	b
19-01-2026 16:19:10	1.8500	0.2	b
19-01-2026 16:14:56	1.8500	1	b
19-01-2026 16:03:40	1.8600	0.1	s
19-01-2026 16:03:23	1.8600	0.3	s
19-01-2026 16:03:19	1.8500	2.5	b
19-01-2026 15:58:14	1.8500	0.2	s
19-01-2026 15:58:14	1.8500	8.2	b
19-01-2026 15:56:01	1.8500	0.3	b
19-01-2026 15:54:20	1.8500	0.1	b
19-01-2026 15:52:19	1.8500	0.1	b
19-01-2026 15:51:22	1.8500	0.2	b
19-01-2026 15:51:19	1.8500	0.3	b
19-01-2026 15:49:55	1.8500	0.2	b
19-01-2026 15:49:38	1.8500	2	b
19-01-2026 15:49:10	1.8500	5	b
19-01-2026 15:49:04	1.8500	0.1	b
19-01-2026 15:49:04	1.8500	0.1	b
19-01-2026 15:48:24	1.8500	0.1	b
19-01-2026 15:47:53	1.8500	2.2	b
19-01-2026 15:42:38	1.8600	1.5	s
19-01-2026 15:40:18	1.8500	0.1	b
19-01-2026 15:37:45	1.8500	5	b
19-01-2026 15:34:23	1.8500	9	b
19-01-2026 15:28:45	1.8500	6	b
19-01-2026 15:23:27	1.8500	0.2	b
19-01-2026 15:20:06	1.8500	0.2	b
19-01-2026 15:20:06	1.8500	0.1	b
19-01-2026 15:20:06	1.8500	50.1	b
19-01-2026 15:19:55	1.8600	0.1	s
19-01-2026 15:17:26	1.8500	3.1	b
19-01-2026 15:17:05	1.8500	0.2	b
19-01-2026 15:17:05	1.8500	55.4	b
19-01-2026 15:03:02	1.8500	0.2	b
19-01-2026 15:02:50	1.8500	0.1	b
19-01-2026 15:02:21	1.8500	0.1	b
19-01-2026 15:01:34	1.8500	0.4	b
19-01-2026 15:01:13	1.8500	0.3	b
19-01-2026 14:56:51	1.8500	0.1	b
19-01-2026 14:56:51	1.8500	1	b
19-01-2026 14:36:02	1.8600	1.2	s
19-01-2026 14:35:53	1.8500	0.6	b
19-01-2026 14:35:53	1.8500	44.4	b
19-01-2026 14:29:41	1.8500	0.1	b
19-01-2026 14:29:08	1.8600	0.2	s
19-01-2026 14:29:08	1.8600	1	s
19-01-2026 14:28:59	1.8600	0.2	s
19-01-2026 14:28:59	1.8600	0.7	s
19-01-2026 14:28:58	1.8600	5	s
19-01-2026 14:25:48	1.8600	0.1	s
19-01-2026 14:25:32	1.8600	0.1	s
19-01-2026 14:25:13	1.8600	0.1	s
19-01-2026 14:24:53	1.8600	0.5	s
19-01-2026 14:24:52	1.8500	5	b
19-01-2026 14:18:45	1.8500	1	b
19-01-2026 14:10:23	1.8500	0.2	b
19-01-2026 14:00:59	1.8600	1.7	s
19-01-2026 13:55:52	1.8600	1.7	s
19-01-2026 13:54:26	1.8600	0.8	s
19-01-2026 13:51:46	1.8500	0.1	b
19-01-2026 13:51:46	1.8500	0.2	b
19-01-2026 13:51:46	1.8400	0.1	b
19-01-2026 13:51:46	1.8500	66.1	b
19-01-2026 13:30:53	1.8600	0.5	s
19-01-2026 13:29:06	1.8600	5.5	s
19-01-2026 13:28:40	1.8600	0.2	s
19-01-2026 13:28:40	1.8600	0.2	s
19-01-2026 13:28:35	1.8600	15.7	b
19-01-2026 13:27:54	1.8600	0.1	b
19-01-2026 13:26:49	1.8600	0.2	b
19-01-2026 13:22:07	1.8600	0.6	s
19-01-2026 13:22:07	1.8600	26.7	b
19-01-2026 13:22:07	1.8600	32.6	s
19-01-2026 13:21:45	1.8600	50	s
19-01-2026 13:21:23	1.8600	0.7	s
19-01-2026 13:09:24	1.8500	0.5	b
19-01-2026 12:58:46	1.8600	2.6	b
19-01-2026 11:59:53	1.8600	0.1	s
19-01-2026 11:59:31	1.8500	0.1	b
19-01-2026 11:59:20	1.8500	0.1	b
19-01-2026 11:59:18	1.8500	0.1	b
19-01-2026 11:59:16	1.8500	0.6	b
19-01-2026 11:59:03	1.8600	0.1	s
19-01-2026 11:58:29	1.8600	0.1	s
19-01-2026 11:58:15	1.8500	0.5	b
19-01-2026 11:58:04	1.8600	0.1	s
19-01-2026 11:57:01	1.8600	0.1	s
19-01-2026 11:54:34	1.8500	1.5	s
19-01-2026 11:54:12	1.8500	0.9	s
19-01-2026 11:53:35	1.8500	0.1	s
19-01-2026 11:53:00	1.8500	0.2	s
19-01-2026 11:52:47	1.8500	0.5	s
19-01-2026 11:52:46	1.8500	0.5	s
19-01-2026 11:52:43	1.8500	0.7	s
19-01-2026 11:52:43	1.8500	0.6	b
19-01-2026 11:52:19	1.8500	5	b
19-01-2026 11:51:52	1.8500	10	b
19-01-2026 11:50:17	1.8500	3	b
19-01-2026 11:46:49	1.8500	0.5	b
19-01-2026 11:46:23	1.8500	0.1	b
19-01-2026 11:45:07	1.8600	0.1	s
19-01-2026 11:43:48	1.8600	0.1	s
19-01-2026 11:42:48	1.8600	0.1	s
19-01-2026 11:41:25	1.8500	5	b
19-01-2026 11:36:27	1.8500	0.4	b
19-01-2026 11:32:26	1.8500	0.3	b
19-01-2026 11:31:41	1.8500	0.4	s
19-01-2026 11:31:41	1.8500	1.3	s
19-01-2026 11:31:05	1.8500	11.5	b
19-01-2026 11:27:00	1.8500	0.3	b
19-01-2026 11:25:54	1.8500	9.9	s
19-01-2026 11:25:18	1.8500	1	s
19-01-2026 11:25:04	1.8500	1.2	s
19-01-2026 11:24:38	1.8500	0.1	s
19-01-2026 11:23:29	1.8500	5	s
19-01-2026 11:22:36	1.8500	0.1	s
19-01-2026 11:21:16	1.8500	2.1	b
19-01-2026 11:20:24	1.8500	0.1	b
19-01-2026 11:20:19	1.8500	0.3	b
19-01-2026 11:20:18	1.8500	0.3	b
19-01-2026 11:19:39	1.8500	0.1	b
19-01-2026 11:18:29	1.8500	0.5	s
19-01-2026 11:18:00	1.8500	0.9	s
19-01-2026 11:17:41	1.8500	12.7	b
