Time	Price	Vol(k)	W
19-01-2026 16:34:31	1.2700	0.1	s
19-01-2026 16:30:48	1.2600	0.1	b
19-01-2026 16:30:33	1.2600	9.3	b
19-01-2026 16:29:12	1.2700	0.1	s
19-01-2026 16:29:05	1.2600	162	s
19-01-2026 16:28:49	1.2600	0.2	s
19-01-2026 16:28:49	1.2600	36.6	b
19-01-2026 16:28:43	1.2600	0.1	b
19-01-2026 16:28:17	1.2700	0.1	s
19-01-2026 16:28:16	1.2600	0.1	b
19-01-2026 16:28:09	1.2600	7.8	b
19-01-2026 16:28:07	1.2600	11.1	b
19-01-2026 16:28:07	1.2600	4.7	b
19-01-2026 16:28:07	1.2600	364	b
19-01-2026 16:28:05	1.2700	0.1	s
19-01-2026 16:27:28	1.2600	0.8	b
19-01-2026 16:27:21	1.2700	0.9	s
19-01-2026 16:26:53	1.2700	0.3	s
19-01-2026 16:26:50	1.2700	0.1	s
19-01-2026 16:26:07	1.2700	0.1	s
19-01-2026 16:25:01	1.2700	0.8	s
19-01-2026 16:24:31	1.2700	0.3	s
19-01-2026 16:24:28	1.2700	0.1	s
19-01-2026 16:22:10	1.2700	0.9	s
19-01-2026 16:21:46	1.2600	0.7	b
19-01-2026 16:21:42	1.2700	0.1	s
19-01-2026 16:21:36	1.2700	0.1	s
19-01-2026 16:21:35	1.2700	0.2	s
19-01-2026 16:20:28	1.2700	0.3	s
19-01-2026 16:20:02	1.2700	0.3	s
19-01-2026 16:19:43	1.2700	0.8	s
19-01-2026 16:17:41	1.2700	0.7	s
19-01-2026 16:17:15	1.2700	0.5	s
19-01-2026 16:16:53	1.2700	0.3	s
19-01-2026 16:14:12	1.2700	0.8	s
19-01-2026 16:13:57	1.2700	0.2	s
19-01-2026 16:11:32	1.2600	0.1	b
19-01-2026 16:10:33	1.2700	0.2	s
19-01-2026 16:09:37	1.2700	0.2	s
19-01-2026 16:09:02	1.2700	0.3	s
19-01-2026 16:06:16	1.2700	0.8	s
19-01-2026 16:05:36	1.2700	0.1	s
19-01-2026 16:03:36	1.2700	0.1	s
19-01-2026 16:02:50	1.2700	0.1	s
19-01-2026 15:58:34	1.2700	2	s
19-01-2026 15:56:04	1.2700	0.1	s
19-01-2026 15:52:23	1.2700	0.1	s
19-01-2026 15:51:23	1.2700	0.8	s
19-01-2026 15:48:26	1.2700	0.2	s
19-01-2026 15:45:41	1.2700	0.1	s
19-01-2026 15:42:53	1.2700	0.1	s
19-01-2026 15:39:10	1.2700	0.1	s
19-01-2026 15:38:18	1.2600	1	b
19-01-2026 15:37:06	1.2700	0.1	s
19-01-2026 15:36:55	1.2700	5	s
19-01-2026 15:36:52	1.2700	0.3	s
19-01-2026 15:34:41	1.2700	0.1	s
19-01-2026 15:32:42	1.2700	0.2	s
19-01-2026 15:32:18	1.2700	0.1	s
19-01-2026 15:30:30	1.2700	0.1	s
19-01-2026 15:24:11	1.2700	2	s
19-01-2026 15:23:17	1.2700	0.1	s
19-01-2026 15:22:11	1.2700	0.1	s
19-01-2026 15:20:47	1.2700	0.1	s
19-01-2026 15:20:45	1.2700	0.1	s
19-01-2026 15:19:49	1.2700	0.1	s
19-01-2026 15:18:40	1.2700	10	s
19-01-2026 15:17:43	1.2700	0.1	s
19-01-2026 15:13:15	1.2600	0.1	b
19-01-2026 15:08:56	1.2600	0.1	b
19-01-2026 15:08:20	1.2700	0.1	s
19-01-2026 15:07:11	1.2700	67.7	b
19-01-2026 15:06:19	1.2800	0.1	s
19-01-2026 15:06:13	1.2700	23.4	s
19-01-2026 15:06:13	1.2700	0.4	s
19-01-2026 15:06:04	1.2600	0.8	b
19-01-2026 15:06:03	1.2600	6.6	b
19-01-2026 15:06:03	1.2700	187.5	b
19-01-2026 15:05:49	1.2700	0.1	b
19-01-2026 15:05:20	1.2800	0.2	s
19-01-2026 15:04:34	1.2800	1	s
19-01-2026 15:02:48	1.2800	2.5	s
