Time	Price	Vol(k)	W
19-01-2026 16:37:15	2.9500	0.7	b
19-01-2026 16:37:15	2.9500	1.1	b
19-01-2026 16:36:57	2.9500	1.1	b
19-01-2026 16:36:38	2.9500	1.2	b
19-01-2026 16:36:31	2.9600	0.7	s
19-01-2026 16:36:28	2.9500	1.8	b
19-01-2026 16:36:26	2.9500	1.4	b
19-01-2026 16:36:22	2.9600	0.3	s
19-01-2026 16:36:22	2.9500	1	b
19-01-2026 16:36:16	2.9500	2	b
19-01-2026 16:36:07	2.9500	1.2	b
19-01-2026 16:35:51	2.9500	1.1	b
19-01-2026 16:35:34	2.9500	1	b
19-01-2026 16:35:22	2.9500	0.3	b
19-01-2026 16:35:17	2.9500	1.1	b
19-01-2026 16:35:00	2.9500	0.9	b
19-01-2026 16:34:46	2.9500	1.4	b
19-01-2026 16:34:44	2.9500	0.7	b
19-01-2026 16:34:42	2.9500	1.2	b
19-01-2026 16:34:24	2.9500	1	b
19-01-2026 16:34:11	2.9500	0.3	b
19-01-2026 16:34:06	2.9500	0.7	b
19-01-2026 16:33:48	2.9500	0.7	b
19-01-2026 16:33:42	2.9600	0.2	s
19-01-2026 16:33:30	2.9500	1.5	b
19-01-2026 16:32:58	2.9500	2.3	b
19-01-2026 16:32:53	2.9500	2.6	b
19-01-2026 16:32:43	2.9500	1.1	b
19-01-2026 16:32:29	2.9500	0.8	b
19-01-2026 16:32:28	2.9500	0.2	b
19-01-2026 16:32:20	2.9600	0.5	s
19-01-2026 16:32:13	2.9500	0.9	b
19-01-2026 16:31:55	2.9500	0.9	b
19-01-2026 16:31:39	2.9500	1	b
19-01-2026 16:31:31	2.9500	2	b
19-01-2026 16:31:21	2.9500	1	b
19-01-2026 16:31:06	2.9500	1	b
19-01-2026 16:30:54	2.9500	1.2	b
19-01-2026 16:30:52	2.9500	0.2	b
19-01-2026 16:30:48	2.9500	0.9	b
19-01-2026 16:30:37	2.9600	5	s
19-01-2026 16:30:29	2.9500	0.9	b
19-01-2026 16:30:25	2.9500	0.1	b
19-01-2026 16:30:16	2.9500	2.3	b
19-01-2026 16:30:14	2.9500	1.1	b
19-01-2026 16:29:58	2.9500	0.9	b
19-01-2026 16:29:57	2.9500	0.9	b
19-01-2026 16:29:50	2.9500	2	b
19-01-2026 16:29:46	2.9500	2.7	b
19-01-2026 16:29:41	2.9500	0.9	b
19-01-2026 16:29:32	2.9500	5.8	b
19-01-2026 16:29:24	2.9500	1	b
19-01-2026 16:29:22	2.9600	0.2	s
19-01-2026 16:29:06	2.9500	1.2	b
19-01-2026 16:28:55	2.9500	1.5	b
19-01-2026 16:28:51	2.9600	0.3	s
19-01-2026 16:28:49	2.9500	1.3	b
19-01-2026 16:28:34	2.9500	62	b
19-01-2026 16:28:32	2.9500	1.1	b
19-01-2026 16:28:24	2.9500	0.1	b
19-01-2026 16:28:17	2.9500	1.1	b
19-01-2026 16:28:16	2.9500	0.8	b
19-01-2026 16:28:00	2.9500	0.7	b
19-01-2026 16:27:42	2.9500	0.8	b
19-01-2026 16:27:35	2.9500	2.1	b
19-01-2026 16:27:31	2.9500	3.5	b
19-01-2026 16:27:27	2.9500	1.4	b
19-01-2026 16:27:25	2.9500	0.7	b
19-01-2026 16:27:18	2.9500	0.9	b
19-01-2026 16:27:05	2.9500	0.9	b
19-01-2026 16:26:48	2.9500	0.9	b
19-01-2026 16:26:46	2.9500	2.4	b
19-01-2026 16:26:29	2.9500	0.9	b
19-01-2026 16:26:27	2.9500	3.1	b
19-01-2026 16:26:11	2.9500	0.9	b
19-01-2026 16:26:05	2.9500	1.4	b
19-01-2026 16:25:56	2.9500	1.1	b
19-01-2026 16:25:38	2.9500	1.1	b
19-01-2026 16:25:27	2.9500	0.4	b
19-01-2026 16:25:23	2.9600	1.8	s
19-01-2026 16:25:19	2.9500	0.9	b
19-01-2026 16:25:10	2.9500	0.2	b
19-01-2026 16:25:04	2.9500	0.9	b
19-01-2026 16:24:46	2.9500	0.9	b
19-01-2026 16:24:42	2.9500	2.6	b
19-01-2026 16:24:37	2.9500	0.8	b
19-01-2026 16:24:34	2.9500	0.7	b
19-01-2026 16:24:31	2.9500	1	b
19-01-2026 16:24:29	2.9500	1.1	b
19-01-2026 16:24:11	2.9500	1	b
19-01-2026 16:23:53	2.9500	1	b
19-01-2026 16:23:36	2.9500	1	b
19-01-2026 16:23:21	2.9500	1	b
19-01-2026 16:23:02	2.9500	1.2	b
19-01-2026 16:22:56	2.9600	1	s
19-01-2026 16:22:44	2.9500	1.1	b
19-01-2026 16:22:40	2.9600	20	s
19-01-2026 16:22:35	2.9500	0.1	b
19-01-2026 16:22:31	2.9500	2.1	b
19-01-2026 16:22:25	2.9500	1.2	b
19-01-2026 16:22:15	2.9500	2.3	b
19-01-2026 16:22:06	2.9500	1.2	b
19-01-2026 16:21:52	2.9600	1.4	s
19-01-2026 16:21:49	2.9500	1.3	b
19-01-2026 16:21:43	2.9500	1.1	b
19-01-2026 16:21:30	2.9500	1.3	b
19-01-2026 16:21:20	2.9500	3.3	b
19-01-2026 16:21:11	2.9500	1.4	b
19-01-2026 16:20:53	2.9500	1.5	b
19-01-2026 16:20:37	2.9500	1.4	b
19-01-2026 16:20:22	2.9500	1.2	b
19-01-2026 16:20:19	2.9500	0.8	b
19-01-2026 16:20:05	2.9500	1.2	b
19-01-2026 16:19:58	2.9500	0.3	b
19-01-2026 16:19:48	2.9500	1	b
19-01-2026 16:19:31	2.9500	0.9	b
19-01-2026 16:19:18	2.9600	0.4	s
19-01-2026 16:19:12	2.9500	1	b
19-01-2026 16:19:07	2.9600	1	s
19-01-2026 16:18:55	2.9500	1	b
19-01-2026 16:18:40	2.9500	0.8	b
19-01-2026 16:18:36	2.9600	1	s
19-01-2026 16:18:24	2.9500	0.8	b
19-01-2026 16:18:13	2.9600	1	s
19-01-2026 16:18:08	2.9600	1	s
19-01-2026 16:18:06	2.9500	2	b
19-01-2026 16:17:46	2.9500	0.2	b
19-01-2026 16:17:35	2.9500	2.4	b
19-01-2026 16:17:31	2.9500	0.7	b
19-01-2026 16:17:18	2.9500	1.2	b
