Time	Price	Vol(k)	W
19-01-2026 16:37:57	2.8500	1.8	b
19-01-2026 16:37:50	2.8600	4.6	s
19-01-2026 16:37:46	2.8600	0.2	s
19-01-2026 16:37:41	2.8600	0.2	s
19-01-2026 16:37:35	2.8600	0.4	s
19-01-2026 16:37:17	2.8600	0.3	s
19-01-2026 16:37:17	2.8500	0.1	b
19-01-2026 16:37:13	2.8600	0.2	s
19-01-2026 16:37:08	2.8600	0.1	s
19-01-2026 16:37:08	2.8600	0.1	s
19-01-2026 16:36:39	2.8500	0.1	b
19-01-2026 16:36:39	2.8600	0.2	s
19-01-2026 16:36:38	2.8600	0.4	s
19-01-2026 16:36:35	2.8500	1.3	b
19-01-2026 16:36:08	2.8600	0.1	s
19-01-2026 16:36:06	2.8600	0.2	s
19-01-2026 16:35:45	2.8600	0.1	s
19-01-2026 16:35:31	2.8600	0.2	s
19-01-2026 16:35:27	2.8600	0.3	s
19-01-2026 16:35:17	2.8600	0.3	s
19-01-2026 16:35:11	2.8600	0.8	s
19-01-2026 16:35:09	2.8500	4.2	b
19-01-2026 16:35:08	2.8500	0.6	b
19-01-2026 16:34:56	2.8600	1	s
19-01-2026 16:34:52	2.8600	0.2	s
19-01-2026 16:34:46	2.8600	0.2	s
19-01-2026 16:34:31	2.8600	0.3	s
19-01-2026 16:34:19	2.8600	0.2	s
19-01-2026 16:34:11	2.8600	0.2	s
19-01-2026 16:33:40	2.8600	0.4	s
19-01-2026 16:33:39	2.8600	0.3	s
19-01-2026 16:33:12	2.8600	0.2	s
19-01-2026 16:33:10	2.8600	0.7	s
19-01-2026 16:33:09	2.8600	0.3	s
19-01-2026 16:33:03	2.8500	2.7	b
19-01-2026 16:32:54	2.8600	0.3	s
19-01-2026 16:32:50	2.8600	0.1	s
19-01-2026 16:32:37	2.8500	0.1	b
19-01-2026 16:32:28	2.8600	0.4	s
19-01-2026 16:32:24	2.8600	0.2	s
19-01-2026 16:31:49	2.8500	1.6	b
19-01-2026 16:31:38	2.8600	0.2	s
19-01-2026 16:31:14	2.8600	0.7	s
19-01-2026 16:31:00	2.8500	1.3	b
19-01-2026 16:30:54	2.8600	0.1	s
19-01-2026 16:30:31	2.8600	2.5	s
19-01-2026 16:30:19	2.8600	0.3	s
19-01-2026 16:30:13	2.8500	4.2	b
19-01-2026 16:30:05	2.8600	0.3	s
19-01-2026 16:30:03	2.8500	4.9	b
19-01-2026 16:29:16	2.8600	1.9	s
19-01-2026 16:29:15	2.8600	3.7	s
19-01-2026 16:28:58	2.8600	0.2	s
19-01-2026 16:28:18	2.8600	0.1	s
