Time	Price	Vol(k)	W
19-01-2026 16:38:21	2.3900	0.1	s
19-01-2026 16:38:18	2.3800	0.2	b
19-01-2026 16:38:10	2.3800	0.1	b
19-01-2026 16:37:46	2.3900	0.6	s
19-01-2026 16:37:41	2.3900	0.1	s
19-01-2026 16:37:27	2.3900	0.4	s
19-01-2026 16:37:21	2.3900	0.1	s
19-01-2026 16:37:04	2.3800	0.7	b
19-01-2026 16:37:03	2.3800	1.5	b
19-01-2026 16:37:03	2.3900	0.4	s
19-01-2026 16:37:01	2.3900	1.7	s
19-01-2026 16:37:00	2.3900	3.1	s
19-01-2026 16:36:56	2.3800	15	b
19-01-2026 16:36:53	2.3900	1.5	s
19-01-2026 16:36:48	2.3900	1.5	s
19-01-2026 16:36:48	2.3900	0.1	s
19-01-2026 16:36:45	2.3800	0.5	b
19-01-2026 16:36:25	2.3800	0.5	b
19-01-2026 16:36:15	2.3900	0.1	s
19-01-2026 16:36:01	2.3900	0.4	s
19-01-2026 16:35:34	2.3900	0.6	s
19-01-2026 16:35:26	2.3900	0.1	s
19-01-2026 16:35:19	2.3800	4.1	b
19-01-2026 16:35:17	2.3900	0.5	s
19-01-2026 16:35:03	2.3800	2	b
19-01-2026 16:35:02	2.3800	0.1	b
19-01-2026 16:34:57	2.3800	3.5	b
19-01-2026 16:34:54	2.3900	0.1	s
19-01-2026 16:34:50	2.3900	1.6	s
19-01-2026 16:34:49	2.3900	0.1	s
19-01-2026 16:34:46	2.3800	0.5	b
19-01-2026 16:34:43	2.3800	2.1	b
19-01-2026 16:34:41	2.3800	3.1	b
19-01-2026 16:34:39	2.3800	0.3	b
19-01-2026 16:34:39	2.3900	0.6	s
19-01-2026 16:34:36	2.3800	5.6	b
19-01-2026 16:34:23	2.3900	0.4	s
19-01-2026 16:34:22	2.3800	2.1	b
19-01-2026 16:33:58	2.3900	1.6	s
19-01-2026 16:33:53	2.3800	2.1	b
19-01-2026 16:33:31	2.3800	2.3	b
19-01-2026 16:33:21	2.3800	2.2	b
19-01-2026 16:33:20	2.3800	0.6	b
19-01-2026 16:33:15	2.3800	0.2	b
19-01-2026 16:33:13	2.3900	1.6	s
19-01-2026 16:33:04	2.3800	0.1	b
19-01-2026 16:33:02	2.3800	2.4	b
19-01-2026 16:32:41	2.3800	2.2	b
19-01-2026 16:32:24	2.3900	0.3	s
19-01-2026 16:32:21	2.3900	0.2	s
19-01-2026 16:32:20	2.3900	2.7	s
19-01-2026 16:32:19	2.3900	1.8	s
19-01-2026 16:32:16	2.3800	2.2	b
19-01-2026 16:32:11	2.3800	2.1	b
19-01-2026 16:32:11	2.3800	1.2	b
19-01-2026 16:31:58	2.3800	1.6	b
19-01-2026 16:31:46	2.3800	2.2	b
19-01-2026 16:31:38	2.3800	0.7	b
19-01-2026 16:31:33	2.3900	0.6	s
19-01-2026 16:31:21	2.3800	2.3	b
19-01-2026 16:31:01	2.3800	2	b
19-01-2026 16:30:53	2.3800	2.3	b
19-01-2026 16:30:32	2.3900	1.7	s
19-01-2026 16:30:28	2.3800	2.2	b
19-01-2026 16:30:24	2.3800	5.3	b
19-01-2026 16:30:16	2.3900	0.6	s
19-01-2026 16:29:59	2.3800	2.3	b
19-01-2026 16:29:56	2.3900	0.4	s
19-01-2026 16:29:44	2.3800	0.8	b
19-01-2026 16:29:43	2.3900	0.1	s
19-01-2026 16:29:40	2.3800	7.8	b
19-01-2026 16:29:34	2.3800	2.3	b
19-01-2026 16:29:26	2.3800	0.3	b
19-01-2026 16:29:26	2.3900	1.5	s
19-01-2026 16:29:10	2.3900	1.9	s
19-01-2026 16:29:08	2.3900	1.7	s
19-01-2026 16:29:07	2.3900	27	s
19-01-2026 16:29:04	2.3800	2.2	b
19-01-2026 16:29:00	2.3800	0.2	b
19-01-2026 16:28:56	2.3800	3.5	b
19-01-2026 16:28:36	2.3800	2.2	b
19-01-2026 16:28:28	2.3800	2.7	b
19-01-2026 16:28:26	2.3900	0.4	s
19-01-2026 16:28:19	2.3900	0.6	s
19-01-2026 16:28:16	2.3800	2.2	b
19-01-2026 16:27:50	2.3900	2.5	s
19-01-2026 16:27:44	2.3800	2.1	b
19-01-2026 16:27:23	2.3800	1	b
19-01-2026 16:27:22	2.3800	0.1	b
19-01-2026 16:27:21	2.3800	2.1	b
19-01-2026 16:27:21	2.3900	0.2	s
19-01-2026 16:27:11	2.3800	1.4	b
19-01-2026 16:27:11	2.3900	0.1	s
19-01-2026 16:27:08	2.3900	1.6	s
19-01-2026 16:27:08	2.3800	0.8	b
19-01-2026 16:27:01	2.3900	2.8	s
19-01-2026 16:26:58	2.3800	2.2	b
19-01-2026 16:26:53	2.3800	0.8	b
19-01-2026 16:26:51	2.3800	0.1	b
19-01-2026 16:26:41	2.3800	3.5	b
19-01-2026 16:26:21	2.3800	2.4	b
19-01-2026 16:25:58	2.3800	2.3	b
19-01-2026 16:25:55	2.3900	1.5	s
19-01-2026 16:25:54	2.3900	0.4	s
19-01-2026 16:25:47	2.3800	3.5	b
19-01-2026 16:25:36	2.3900	0.6	s
