Time	Price	Vol(k)	W
19-01-2026 16:38:12	1.1100	0.7	s
19-01-2026 16:38:08	1.1000	0.7	b
19-01-2026 16:37:48	1.1100	10	s
19-01-2026 16:37:45	1.1100	0.7	s
19-01-2026 16:37:10	1.1100	1	s
19-01-2026 16:37:00	1.1100	0.1	s
19-01-2026 16:36:59	1.1100	1.3	s
19-01-2026 16:36:52	1.1100	1.1	s
19-01-2026 16:36:51	1.1100	0.1	s
19-01-2026 16:36:46	1.1100	1.2	s
19-01-2026 16:36:09	1.1100	0.7	s
19-01-2026 16:35:43	1.1100	20	s
19-01-2026 16:34:57	1.1100	0.1	s
19-01-2026 16:34:32	1.1100	10	s
19-01-2026 16:34:23	1.1100	4.8	s
19-01-2026 16:34:22	1.1000	0.7	b
19-01-2026 16:33:30	1.1100	0.1	s
19-01-2026 16:32:06	1.1100	0.1	s
19-01-2026 16:31:57	1.1100	0.1	s
19-01-2026 16:31:37	1.1000	0.1	b
19-01-2026 16:31:36	1.1000	9	b
19-01-2026 16:31:35	1.1100	0.1	s
19-01-2026 16:31:18	1.1100	2	s
19-01-2026 16:31:10	1.1100	0.1	s
19-01-2026 16:30:59	1.1100	1.1	s
19-01-2026 16:30:42	1.1000	0.7	b
19-01-2026 16:29:28	1.1100	0.7	s
19-01-2026 16:27:40	1.1100	0.8	s
19-01-2026 16:26:55	1.1100	0.5	s
19-01-2026 16:26:47	1.1000	0.7	b
19-01-2026 16:23:02	1.1000	0.7	b
19-01-2026 16:19:03	1.1000	0.7	b
19-01-2026 16:18:34	1.1100	0.7	s
19-01-2026 16:18:18	1.1100	0.2	s
19-01-2026 16:18:14	1.1100	0.1	b
19-01-2026 16:18:14	1.1100	9.6	b
19-01-2026 16:18:14	1.1100	0.1	s
19-01-2026 16:18:14	1.1100	0.1	b
19-01-2026 16:18:14	1.1100	0.2	b
19-01-2026 16:18:14	1.1100	0.2	b
19-01-2026 16:18:13	1.1100	0.2	b
19-01-2026 16:18:13	1.1100	0.2	b
19-01-2026 16:18:13	1.1100	0.2	b
19-01-2026 16:18:13	1.1100	0.2	b
19-01-2026 16:18:13	1.1100	0.2	b
19-01-2026 16:18:13	1.1100	0.3	b
19-01-2026 16:18:12	1.1100	0.2	b
19-01-2026 16:18:12	1.1100	0.2	b
19-01-2026 16:18:12	1.1100	19.1	b
19-01-2026 16:18:12	1.1100	0.2	b
19-01-2026 16:18:12	1.1100	1.4	b
19-01-2026 16:18:12	1.1100	0.2	b
19-01-2026 16:18:12	1.1100	0.7	b
19-01-2026 16:18:12	1.1100	0.3	b
19-01-2026 16:18:11	1.1100	0.2	b
19-01-2026 16:18:11	1.1100	0.2	b
19-01-2026 16:18:11	1.1100	19.7	b
19-01-2026 16:18:11	1.1100	69.5	b
19-01-2026 16:18:11	1.1100	3.7	b
19-01-2026 16:18:11	1.1100	227.6	b
19-01-2026 16:18:11	1.1100	73.2	b
19-01-2026 16:18:10	1.1100	615.6	b
19-01-2026 16:17:51	1.1100	0.2	b
19-01-2026 16:17:50	1.1200	0.1	s
19-01-2026 16:17:13	1.1100	0.1	b
19-01-2026 16:17:12	1.1200	0.3	s
19-01-2026 16:16:30	1.1200	0.5	s
19-01-2026 16:15:56	1.1100	0.2	b
19-01-2026 16:15:56	1.1200	0.1	s
19-01-2026 16:15:09	1.1200	0.2	s
19-01-2026 16:14:11	1.1100	0.1	b
19-01-2026 16:14:10	1.1200	0.1	s
19-01-2026 16:13:51	1.1200	0.3	s
19-01-2026 16:12:16	1.1200	0.1	s
19-01-2026 16:12:02	1.1100	0.2	b
19-01-2026 16:12:02	1.1100	0.1	b
19-01-2026 16:12:02	1.1100	0.7	b
19-01-2026 16:11:22	1.1200	0.1	s
