Time	Price	Vol(k)	W
19-01-2026 16:38:19	1.0500	0.5	s
19-01-2026 16:38:19	1.0400	0.2	b
19-01-2026 16:37:31	1.0500	0.5	s
19-01-2026 16:37:22	1.0400	0.2	b
19-01-2026 16:36:38	1.0500	0.5	s
19-01-2026 16:36:35	1.0400	0.3	b
19-01-2026 16:35:44	1.0500	0.5	s
19-01-2026 16:35:27	1.0400	0.1	b
19-01-2026 16:34:56	1.0500	0.5	s
19-01-2026 16:34:08	1.0500	0.5	s
19-01-2026 16:33:44	1.0500	0.8	s
19-01-2026 16:33:39	1.0500	0.5	s
19-01-2026 16:33:31	1.0500	0.1	s
19-01-2026 16:33:17	1.0500	0.5	s
19-01-2026 16:32:27	1.0500	0.5	s
19-01-2026 16:31:36	1.0500	0.5	s
19-01-2026 16:31:32	1.0400	0.5	b
19-01-2026 16:31:12	1.0500	1.2	s
19-01-2026 16:30:48	1.0500	0.5	s
19-01-2026 16:30:26	1.0500	0.5	s
19-01-2026 16:30:23	1.0400	0.1	b
19-01-2026 16:30:04	1.0500	0.5	s
19-01-2026 16:29:17	1.0500	0.5	s
19-01-2026 16:28:49	1.0500	0.4	s
19-01-2026 16:28:48	1.0500	5	s
19-01-2026 16:28:20	1.0500	0.5	s
19-01-2026 16:27:29	1.0500	0.5	s
19-01-2026 16:27:23	1.0500	0.5	s
19-01-2026 16:26:36	1.0500	0.5	s
19-01-2026 16:26:12	1.0400	0.4	b
19-01-2026 16:25:40	1.0500	0.5	s
19-01-2026 16:24:49	1.0400	0.2	b
19-01-2026 16:24:48	1.0500	0.5	s
19-01-2026 16:23:50	1.0500	0.5	s
19-01-2026 16:23:18	1.0500	1	s
19-01-2026 16:23:17	1.0500	10	s
19-01-2026 16:22:55	1.0400	0.2	b
19-01-2026 16:22:54	1.0500	0.5	s
19-01-2026 16:22:12	1.0500	0.1	s
19-01-2026 16:21:54	1.0500	0.5	s
19-01-2026 16:21:08	1.0500	0.5	s
19-01-2026 16:20:46	1.0500	1.2	s
19-01-2026 16:20:28	1.0400	0.1	b
19-01-2026 16:20:17	1.0500	0.5	s
19-01-2026 16:20:03	1.0500	0.4	s
19-01-2026 16:19:22	1.0500	0.5	s
19-01-2026 16:19:10	1.0400	0.3	b
19-01-2026 16:18:23	1.0500	0.5	s
19-01-2026 16:18:15	1.0500	0.3	s
19-01-2026 16:17:24	1.0500	0.5	s
19-01-2026 16:16:30	1.0500	0.5	s
19-01-2026 16:15:40	1.0500	0.5	s
19-01-2026 16:14:46	1.0500	0.5	s
19-01-2026 16:13:47	1.0500	0.5	s
19-01-2026 16:13:21	1.0400	0.2	b
19-01-2026 16:12:51	1.0500	0.3	s
19-01-2026 16:12:27	1.0500	0.4	s
19-01-2026 16:12:00	1.0500	0.4	s
19-01-2026 16:11:29	1.0500	0.3	s
19-01-2026 16:11:12	1.0400	0.2	b
19-01-2026 16:11:11	1.0500	0.5	s
19-01-2026 16:10:57	1.0500	0.3	s
19-01-2026 16:10:38	1.0400	0.2	b
19-01-2026 16:10:26	1.0500	0.4	s
19-01-2026 16:10:22	1.0400	0.1	b
19-01-2026 16:09:56	1.0500	1.2	s
19-01-2026 16:09:25	1.0500	0.5	s
19-01-2026 16:08:24	1.0500	0.5	s
19-01-2026 16:07:14	1.0500	0.5	s
19-01-2026 16:07:03	1.0500	0.1	s
19-01-2026 16:06:48	1.0400	0.2	b
19-01-2026 16:06:10	1.0500	0.5	s
19-01-2026 16:06:03	1.0400	0.2	b
19-01-2026 16:05:22	1.0400	0.1	b
19-01-2026 16:05:10	1.0500	0.5	s
19-01-2026 16:04:07	1.0400	0.2	b
19-01-2026 16:04:00	1.0500	0.5	s
19-01-2026 16:02:57	1.0500	0.5	s
19-01-2026 16:01:42	1.0500	0.5	s
19-01-2026 16:00:47	1.0500	0.5	s
19-01-2026 16:00:25	1.0400	0.1	b
19-01-2026 15:59:57	1.0500	0.5	s
19-01-2026 15:59:07	1.0500	0.5	s
19-01-2026 15:58:48	1.0400	0.2	b
19-01-2026 15:58:14	1.0500	0.5	s
19-01-2026 15:58:11	1.0500	1.2	s
19-01-2026 15:58:04	1.0500	0.5	s
19-01-2026 15:57:48	1.0500	0.1	s
19-01-2026 15:57:20	1.0500	0.5	s
19-01-2026 15:56:40	1.0500	0.3	s
19-01-2026 15:56:26	1.0500	0.5	s
19-01-2026 15:55:30	1.0500	0.5	s
19-01-2026 15:54:56	1.0400	37.6	b
19-01-2026 15:54:42	1.0500	2.7	s
19-01-2026 15:54:33	1.0500	0.5	s
19-01-2026 15:53:32	1.0500	0.5	s
19-01-2026 15:52:31	1.0500	0.5	s
19-01-2026 15:51:32	1.0500	0.5	s
19-01-2026 15:50:22	1.0500	0.3	s
19-01-2026 15:50:22	1.0400	0.1	b
19-01-2026 15:49:50	1.0500	0.4	s
19-01-2026 15:48:58	1.0500	0.5	s
19-01-2026 15:47:56	1.0500	0.3	s
19-01-2026 15:47:34	1.0500	0.5	s
19-01-2026 15:46:51	1.0500	0.5	s
19-01-2026 15:46:36	1.0500	1.2	s
19-01-2026 15:46:11	1.0500	0.3	s
19-01-2026 15:45:49	1.0500	0.4	s
19-01-2026 15:45:34	1.0500	0.5	s
19-01-2026 15:45:22	1.0400	0.1	b
19-01-2026 15:45:11	1.0500	0.4	s
19-01-2026 15:45:03	1.0500	0.5	s
19-01-2026 15:44:46	1.0400	0.3	b
19-01-2026 15:44:11	1.0500	0.5	s
19-01-2026 15:43:06	1.0500	0.5	s
19-01-2026 15:42:11	1.0500	0.5	s
19-01-2026 15:41:10	1.0500	0.5	s
19-01-2026 15:40:08	1.0500	0.5	s
19-01-2026 15:39:14	1.0400	0.2	b
19-01-2026 15:39:13	1.0500	0.5	s
19-01-2026 15:38:18	1.0500	0.5	s
19-01-2026 15:37:40	1.0500	0.1	s
19-01-2026 15:37:12	1.0500	0.5	s
19-01-2026 15:36:05	1.0500	0.5	s
19-01-2026 15:35:19	1.0400	0.1	b
19-01-2026 15:35:01	1.0500	0.5	s
19-01-2026 15:34:51	1.0500	1.2	s
19-01-2026 15:34:25	1.0400	0.2	b
19-01-2026 15:34:04	1.0500	0.5	s
19-01-2026 15:33:08	1.0500	0.5	s
19-01-2026 15:32:02	1.0500	0.5	s
19-01-2026 15:31:59	1.0500	0.5	s
19-01-2026 15:31:02	1.0500	0.5	s
19-01-2026 15:30:17	1.0500	1.2	s
19-01-2026 15:30:12	1.0500	0.5	s
19-01-2026 15:29:59	1.0400	0.2	b
19-01-2026 15:29:13	1.0500	0.5	s
19-01-2026 15:28:11	1.0500	0.5	s
19-01-2026 15:27:51	1.0500	0.5	s
19-01-2026 15:27:12	1.0500	0.5	s
19-01-2026 15:27:11	1.0400	0.2	b
19-01-2026 15:26:05	1.0500	0.5	s
19-01-2026 15:25:22	1.0400	0.1	b
19-01-2026 15:25:15	1.0400	0.2	b
19-01-2026 15:25:12	1.0500	0.5	s
19-01-2026 15:24:29	1.0400	0.2	b
19-01-2026 15:24:25	1.0500	0.5	s
19-01-2026 15:23:33	1.0500	0.5	s
19-01-2026 15:23:17	1.0400	0.2	b
19-01-2026 15:22:46	1.0500	0.7	s
19-01-2026 15:22:33	1.0500	0.5	s
19-01-2026 15:21:33	1.0500	0.3	s
19-01-2026 15:21:04	1.0500	0.4	s
19-01-2026 15:20:33	1.0500	0.4	s
19-01-2026 15:20:27	1.0400	0.2	b
19-01-2026 15:20:08	1.0500	0.5	s
19-01-2026 15:19:12	1.0500	0.5	s
19-01-2026 15:19:00	1.0500	0.3	s
19-01-2026 15:18:21	1.0500	0.5	s
19-01-2026 15:17:32	1.0400	0.4	b
19-01-2026 15:17:26	1.0500	0.5	s
19-01-2026 15:16:24	1.0500	0.5	s
19-01-2026 15:15:40	1.0500	0.1	s
19-01-2026 15:15:17	1.0500	0.5	s
19-01-2026 15:14:14	1.0500	0.5	s
19-01-2026 15:13:20	1.0500	0.5	s
19-01-2026 15:12:28	1.0500	0.5	s
19-01-2026 15:12:25	1.0500	0.4	s
19-01-2026 15:11:39	1.0500	0.5	s
19-01-2026 15:10:51	1.0500	0.5	s
19-01-2026 15:09:54	1.0500	0.5	s
19-01-2026 15:09:32	1.0500	0.7	s
19-01-2026 15:08:54	1.0500	0.5	s
19-01-2026 15:08:08	1.0500	0.5	s
19-01-2026 15:07:14	1.0500	0.5	s
19-01-2026 15:07:11	1.0500	11	s
19-01-2026 15:06:19	1.0500	0.5	s
19-01-2026 15:05:25	1.0500	0.5	s
19-01-2026 15:04:28	1.0500	0.7	s
19-01-2026 15:04:28	1.0500	0.5	s
19-01-2026 15:03:31	1.0500	0.3	s
19-01-2026 15:03:03	1.0500	0.4	s
19-01-2026 15:02:07	1.0500	0.5	s
19-01-2026 15:01:18	1.0500	0.5	s
19-01-2026 15:00:26	1.0500	0.5	s
19-01-2026 15:00:20	1.0500	0.1	s
19-01-2026 15:00:11	1.0500	0.5	s
19-01-2026 14:59:41	1.0400	0.2	b
19-01-2026 14:59:36	1.0500	0.1	s
