Time	Price	Vol(k)	W
19-01-2026 16:38:06	2.2600	0.1	s
19-01-2026 16:37:53	2.2500	3.2	b
19-01-2026 16:37:31	2.2500	0.3	b
19-01-2026 16:37:10	2.2600	2.4	s
19-01-2026 16:36:15	2.2600	1.4	s
19-01-2026 16:35:48	2.2600	0.5	s
19-01-2026 16:35:27	2.2600	0.1	s
19-01-2026 16:35:26	2.2600	0.2	s
19-01-2026 16:35:20	2.2500	0.3	b
19-01-2026 16:35:15	2.2500	0.3	b
19-01-2026 16:34:33	2.2600	1	s
19-01-2026 16:34:22	2.2600	1.9	s
19-01-2026 16:34:04	2.2600	0.7	s
19-01-2026 16:33:18	2.2600	0.6	s
19-01-2026 16:32:35	2.2500	0.1	b
19-01-2026 16:32:19	2.2600	1.8	s
19-01-2026 16:31:39	2.2500	0.3	b
19-01-2026 16:31:15	2.2500	8.8	b
19-01-2026 16:30:48	2.2500	0.2	b
19-01-2026 16:30:22	2.2600	0.1	s
19-01-2026 16:30:19	2.2600	0.1	s
19-01-2026 16:30:08	2.2600	2	s
19-01-2026 16:29:59	2.2600	1.8	s
19-01-2026 16:29:42	2.2600	3	s
19-01-2026 16:28:51	2.2600	0.6	s
19-01-2026 16:28:16	2.2600	1.2	s
19-01-2026 16:26:39	2.2500	0.3	b
19-01-2026 16:25:54	2.2500	0.2	b
19-01-2026 16:25:53	2.2600	1.6	s
19-01-2026 16:25:20	2.2600	0.2	s
19-01-2026 16:23:37	2.2600	0.7	s
19-01-2026 16:22:28	2.2600	2.5	s
19-01-2026 16:22:07	2.2600	0.5	s
19-01-2026 16:21:59	2.2500	0.3	b
19-01-2026 16:21:43	2.2600	1.8	s
19-01-2026 16:20:26	2.2600	0.3	s
19-01-2026 16:20:18	2.2600	1.8	s
19-01-2026 16:19:39	2.2600	0.1	s
19-01-2026 16:19:36	2.2600	1.2	s
19-01-2026 16:19:15	2.2500	5.6	b
19-01-2026 16:19:08	2.2600	1.2	s
19-01-2026 16:19:07	2.2600	1.1	s
19-01-2026 16:18:57	2.2600	0.5	s
19-01-2026 16:18:20	2.2500	0.3	b
19-01-2026 16:18:00	2.2600	1.1	s
19-01-2026 16:16:55	2.2500	0.1	b
19-01-2026 16:16:52	2.2600	1.2	s
19-01-2026 16:15:37	2.2600	1.4	s
19-01-2026 16:15:20	2.2500	0.3	b
19-01-2026 16:15:20	2.2600	0.3	s
19-01-2026 16:15:19	2.2600	0.1	s
19-01-2026 16:14:35	2.2600	1.2	s
19-01-2026 16:14:00	2.2600	1.3	s
19-01-2026 16:12:57	2.2600	0.1	s
19-01-2026 16:12:37	2.2600	0.6	s
19-01-2026 16:12:36	2.2600	2.4	s
19-01-2026 16:12:00	2.2500	1.1	b
19-01-2026 16:11:59	2.2500	0.5	b
19-01-2026 16:11:49	2.2500	1	b
19-01-2026 16:11:47	2.2600	0.1	s
19-01-2026 16:11:47	2.2600	1	s
19-01-2026 16:11:45	2.2500	0.1	b
19-01-2026 16:11:40	2.2500	0.3	b
19-01-2026 16:10:45	2.2500	2.2	b
19-01-2026 16:10:26	2.2600	4.5	s
19-01-2026 16:10:23	2.2500	0.1	b
19-01-2026 16:10:17	2.2600	0.5	s
19-01-2026 16:10:15	2.2500	18.2	b
19-01-2026 16:10:12	2.2600	2	s
19-01-2026 16:10:01	2.2600	0.1	s
19-01-2026 16:09:50	2.2600	0.8	s
19-01-2026 16:09:11	2.2600	1.3	s
19-01-2026 16:07:24	2.2600	2.2	s
19-01-2026 16:06:42	2.2500	0.1	b
19-01-2026 16:06:26	2.2500	0.4	b
19-01-2026 16:06:26	2.2600	0.8	s
19-01-2026 16:06:11	2.2600	8.8	s
19-01-2026 16:05:24	2.2600	2.4	s
19-01-2026 16:05:19	2.2600	0.5	s
19-01-2026 16:05:15	2.2600	2	s
19-01-2026 16:05:11	2.2500	0.3	b
19-01-2026 16:04:41	2.2600	0.1	s
19-01-2026 16:04:26	2.2600	1.1	s
19-01-2026 16:03:57	2.2600	1	s
19-01-2026 16:03:04	2.2500	0.1	b
19-01-2026 16:03:00	2.2600	1.6	s
19-01-2026 16:02:31	2.2500	0.3	b
19-01-2026 16:01:30	2.2500	0.3	b
19-01-2026 16:01:09	2.2600	1.9	s
19-01-2026 15:59:32	2.2500	0.3	b
19-01-2026 15:59:05	2.2600	2	s
19-01-2026 15:58:31	2.2500	0.2	b
19-01-2026 15:58:00	2.2600	0.1	s
19-01-2026 15:56:58	2.2600	1.2	s
19-01-2026 15:56:44	2.2600	2.1	s
19-01-2026 15:56:24	2.2600	0.6	s
19-01-2026 15:54:32	2.2500	0.3	b
19-01-2026 15:54:25	2.2600	0.5	s
19-01-2026 15:54:03	2.2600	2.2	s
19-01-2026 15:54:02	2.2500	0.1	b
19-01-2026 15:53:46	2.2600	1	s
19-01-2026 15:52:11	2.2600	1.4	s
19-01-2026 15:52:00	2.2500	0.2	b
19-01-2026 15:51:05	2.2600	0.9	s
19-01-2026 15:50:28	2.2600	1.2	s
19-01-2026 15:50:12	2.2500	0.3	b
19-01-2026 15:50:00	2.2500	18.8	b
19-01-2026 15:49:49	2.2500	0.1	b
19-01-2026 15:49:47	2.2600	0.1	s
19-01-2026 15:47:32	2.2500	0.3	b
19-01-2026 15:47:28	2.2600	0.4	s
19-01-2026 15:46:59	2.2600	2.2	s
19-01-2026 15:44:32	2.2500	0.3	b
19-01-2026 15:44:19	2.2600	1.5	s
19-01-2026 15:44:16	2.2600	0.1	s
19-01-2026 15:42:58	2.2600	0.7	s
19-01-2026 15:42:16	2.2600	1.1	s
19-01-2026 15:42:08	2.2500	0.5	b
19-01-2026 15:41:57	2.2500	0.3	b
19-01-2026 15:41:19	2.2600	0.1	s
19-01-2026 15:41:14	2.2500	0.3	b
19-01-2026 15:41:07	2.2600	0.4	s
19-01-2026 15:40:09	2.2600	0.6	s
19-01-2026 15:40:07	2.2600	0.1	s
19-01-2026 15:39:46	2.2600	0.1	s
19-01-2026 15:39:20	2.2600	0.1	s
19-01-2026 15:39:19	2.2600	2.2	s
19-01-2026 15:39:17	2.2600	0.4	s
19-01-2026 15:39:17	2.2600	1.6	s
19-01-2026 15:39:15	2.2500	0.3	b
19-01-2026 15:38:25	2.2500	0.5	b
19-01-2026 15:38:06	2.2600	1	s
19-01-2026 15:38:04	2.2600	0.1	s
19-01-2026 15:37:20	2.2600	1.1	s
19-01-2026 15:36:52	2.2500	0.3	b
19-01-2026 15:36:13	2.2600	10	s
19-01-2026 15:36:04	2.2600	0.3	s
19-01-2026 15:34:28	2.2600	0.1	s
19-01-2026 15:34:08	2.2600	0.1	s
19-01-2026 15:33:48	2.2600	2.2	s
19-01-2026 15:33:37	2.2500	0.1	b
19-01-2026 15:32:32	2.2500	0.3	b
19-01-2026 15:32:24	2.2500	0.3	b
19-01-2026 15:32:24	2.2600	0.4	s
19-01-2026 15:30:50	2.2600	0.2	s
19-01-2026 15:30:49	2.2600	0.3	s
19-01-2026 15:30:37	2.2600	2.3	s
19-01-2026 15:30:34	2.2600	0.2	s
19-01-2026 15:30:20	2.2600	0.2	s
19-01-2026 15:30:04	2.2600	0.2	s
19-01-2026 15:29:47	2.2600	0.2	s
19-01-2026 15:29:46	2.2600	0.1	s
19-01-2026 15:29:30	2.2600	0.2	s
19-01-2026 15:29:18	2.2600	2	s
